id;nombre_empleado;apellido_empleado;telefono_empleado;correo_empleado
1;indeed;judgementally;ha gallivant;brr
2;including;boo sashay airmail;per;fashion sideboard generously
3;moralise whereas;often inexperienced;bore sheepishly;taxicab
4;pip upwardly;furthermore cheetah cellar;lazily;toward positively
5;so presume quash;brr;sate;beyond overplay
6;stormy authorized;carboxyl biodegradable archaeology;nab rule swiftly;blah midst
7;secrecy busily consequently;reward ack microblog;whoever;who provider petal
8;coordination inside;quickly;puritan;whose past
9;aha;to yawn outside;certification writhing hygienic;why misappropriate
10;bog regarding obediently;till strictly delectable;gleefully though;woot or rapidly
